filenamehost_nameline
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.585","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"open-log","v":{"path":"E:\\Tableau\\Tableau Server\\data\\tabsvc\\logs\\vizqlserver\\tabprotosrv_2.txt"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.586","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"startup-info","v":{"tableau-version":"9200.15.1201.0018,x64","cwd":"E:\\Tableau\\Tableau Server\\9.2\\repository\\jre\\bin","start-time":"2015-12-29T15:34:30.586","os":"Microsoft Windows Server 2012 R2 Standard (Build 9600)","domain":"","hostname":"WIN-FPC6VT52C21","process-id":"5556 (0x15b4)"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"memory-usage","v":{"load-percent":41,"free":140737273556992,"commit":208539648,"reserve":6193152}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabsys.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5Core.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5Gui.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\boost_thread-vc120-mt-1_56.dll"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\boost_date_time-vc120-mt-1_56.dll"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\SHELL32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\ole32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\OLEAUT32.dll","file-version":"6.3.9600.16384","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\ADVAPI32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\MSVCP120.dll","product-name":"Microsoft\u00ae Visual Studio\u00ae 2013","file-version":"12.00.21005.1 built by: REL","product-version":"12.00.21005.1"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\mfc120u.dll","product-name":"Microsoft\u00ae Visual Studio\u00ae 2013","file-version":"12.0.21005.1 built by: REL","product-version":"12.0.21005.1"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\MSVCR120.dll","product-name":"Microsoft\u00ae Visual Studio\u00ae 2013","file-version":"12.00.21005.1 built by: REL","product-version":"12.00.21005.1"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\WS2_32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\MSWSOCK.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tbb.dll","product-name":"Intel(R) Threading Building Blocks for Windows","file-version":"4, 2, 0, 0","product-version":"4, 2, 0, 0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\metrics2.dll"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabquery.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabquerycore.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\tabfileformat.dll","product-name":"Tableau 9.2","file-version":"9200.15.1201.0018","product-version":"9200.15.1201.0018"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5Network.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\libcurl.dll","product-name":"The cURL library","file-version":"7.44.0","product-version":"7.44.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\TABLIBEAY32.dll","product-name":"The OpenSSL Toolkit","file-version":"1.0.2d","product-version":"1.0.2d"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\TABSSLEAY32.dll","product-name":"The OpenSSL Toolkit","file-version":"1.0.2d","product-version":"1.0.2d"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\icuin44.dll","product-name":"International Components for Unicode","file-version":"4, 4, 0, 0","product-version":"4, 4, 0, 0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\icuuc44.dll","product-name":"International Components for Unicode","file-version":"4, 4, 0, 0","product-version":"4, 4, 0, 0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\PSAPI.DLL","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\VERSION.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\Secur32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\USER32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\GDI32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\SHLWAPI.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\WINTRUST.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\system32\\CRYPT32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5Widgets.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5WebKitWidgets.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\libxl.dll","product-name":"LibXL","file-version":"3.6.2.4","product-version":"3.6.2.4"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\STATRN64.dll","product-name":"Stat/Transfer","file-version":"13.0.325.0503","product-version":"13.0.325.0503"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\ODBC32.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\Qt5WebKit.dll","product-name":"Qt5","file-version":"5.4.1.0","product-version":"5.4.1.0"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\dbghelp.dll","product-name":"Debugging Tools for Windows(R)","file-version":"6.12.0002.633 (debuggers(dbg).100201-1211)","product-version":"6.12.0002.633"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\POWRPROF.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"C:\\Windows\\SYSTEM32\\MPR.dll","product-name":"Microsoft\u00ae Windows\u00ae Operating System","file-version":"6.3.9600.16384 (winblue_rtm.130821-1623)","product-version":"6.3.9600.16384"}}
tabprotosrv_9.txtMiles-PC{"ts":"2015-12-29T16:34:30.602","pid":5556,"tid":"15b8","sev":"info","req":"-","sess":"-","site":"{B0EEC83D-2AC7-4CA7-839D-C3B5F04D85E5}","user":"-","k":"dll-version-info","v":{"filename":"E:\\Tableau\\Tableau Server\\9.2\\bin\\libGLESv2.dll"}}
